number	sample	contig	 Reads 	 length 	ref	coding	family
2078	33936	contig_11403	" 21,214 "	" 27,032 "	Buorbuivirus	TAG	Suoliviridae
922	33861	contig_7024	" 21,200 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
349	34008	contig_2345	" 20,421 "	" 17,956 "	Epsilon_1_1	11	Epsilon
663	33943	contig_3411	" 19,785 "	" 77,979 "	Epsilon_1_4	11	Epsilon
1296	34039	contig_1091	" 19,551 "	" 145,297 "	Epsilon_2_3	11	Epsilon
2090	33917	contig_6002	" 19,225 "	" 36,623 "	Zeta	TAG	Zeta
2005	33898	contig_16648	" 18,214 "	" 22,908 "	Zeta	TAG	Zeta
910	34027	contig_5776	" 18,124 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
2017	33949	contig_16648	" 17,784 "	" 22,908 "	Zeta	TAG	Zeta
252	33957	contig_1857	" 16,714 "	" 141,010 "	Epsilon_1	11	Epsilon
415	33982	contig_239060	" 16,154 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
227	33896	contig_1857	" 16,004 "	" 141,010 "	Epsilon_1	11	Epsilon
1388	33960	contig_2405	" 15,238 "	" 18,695 "	Epsilon_1	11	Epsilon
1508	34007	contig_3469	" 14,865 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
364	33855	contig_239060	" 14,440 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
653	33915	contig_3411	" 14,262 "	" 77,979 "	Epsilon_1_4	11	Epsilon
85	33947	contig_12421	" 13,945 "	" 21,658 "	Kehishuvirus	11	Steigviridae
709	34022	contig_3411	" 13,210 "	" 77,979 "	Epsilon_1_4	11	Epsilon
135	33855	contig_13662	" 12,826 "	" 22,603 "	Asinivirinae	11	Steigviridae
253	33960	contig_1857	" 12,531 "	" 141,010 "	Epsilon_1	11	Epsilon
1504	33997	contig_3469	" 12,179 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
457	33929	contig_240585	" 12,029 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
2027	34015	contig_239885	" 11,490 "	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
798	33897	contig_5621	" 11,432 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
684	33976	contig_3411	" 11,291 "	" 77,979 "	Epsilon_1_4	11	Epsilon
820	33974	contig_5621	" 11,164 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
690	33984	contig_3411	" 11,128 "	" 77,979 "	Epsilon_1_4	11	Epsilon
766	34024	contig_5617	" 11,094 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
52	33895	contig_12149	" 11,063 "	" 59,357 "	Asinivirinae	11	Steigviridae
821	33976	contig_5621	" 10,955 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1258	33941	contig_1091	" 10,897 "	" 145,297 "	Epsilon_2_3	11	Epsilon
631	33857	contig_3411	" 10,750 "	" 77,979 "	Epsilon_1_4	11	Epsilon
336	33981	contig_2345	" 10,749 "	" 17,956 "	Epsilon_1_1	11	Epsilon
90	33857	contig_13525	" 10,710 "	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
687	33981	contig_3411	" 10,584 "	" 77,979 "	Epsilon_1_4	11	Epsilon
670	33955	contig_3411	" 10,410 "	" 77,979 "	Epsilon_1_4	11	Epsilon
322	33955	contig_2345	" 10,141 "	" 17,956 "	Epsilon_1_1	11	Epsilon
1018	33861	contig_7054	" 9,844 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
568	33879	contig_3213	" 9,765 "	" 37,472 "	Epsilon_1	11	Epsilon
1957	33898	contig_16647	" 9,748 "	" 21,983 "	Zeta	TAG	Zeta
7	33947	contig_10982	" 9,611 "	" 14,547 "	Kehishuvirus	11	Steigviridae
1493	33981	contig_3469	" 9,591 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
533	33926	contig_3100	" 9,334 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
278	34007	contig_1857	" 9,211 "	" 141,010 "	Epsilon_1	11	Epsilon
523	33893	contig_3100	" 9,001 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
329	33964	contig_2345	" 8,958 "	" 17,956 "	Epsilon_1_1	11	Epsilon
204	33855	contig_1857	" 8,936 "	" 141,010 "	Epsilon_1	11	Epsilon
586	33943	contig_3213	" 8,888 "	" 37,472 "	Epsilon_1	11	Epsilon
394	33902	contig_239060	" 8,778 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1385	33957	contig_2405	" 8,776 "	" 18,695 "	Epsilon_1	11	Epsilon
2086	33917	contig_5988	" 8,573 "	" 19,480 "	Zeta_1	TAG	Zeta
850	33862	contig_5776	" 8,548 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
702	34008	contig_3411	" 8,508 "	" 77,979 "	Epsilon_1_4	11	Epsilon
603	33976	contig_3213	" 8,219 "	" 37,472 "	Epsilon_1	11	Epsilon
88	33855	contig_13525	" 8,164 "	" 18,525 "	Burzaovirus coli	TAG	Suoliviridae
144	33895	contig_13662	" 8,124 "	" 22,603 "	Asinivirinae	11	Steigviridae
1530	33936	contig_6493	" 8,080 "	" 21,922 "	Zeta_15_1	11	Zeta
853	33869	contig_5776	" 8,002 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
454	33897	contig_240585	" 7,862 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
232	33915	contig_1857	" 7,861 "	" 141,010 "	Epsilon_1	11	Epsilon
879	33932	contig_5776	" 7,856 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1865	33902	contig_7377	" 7,843 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
751	33936	contig_5617	" 7,807 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
677	33964	contig_3411	" 7,679 "	" 77,979 "	Epsilon_1_4	11	Epsilon
906	34019	contig_5776	" 7,627 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
491	34013	contig_240585	" 7,305 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
406	33947	contig_239060	" 7,281 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1115	33979	contig_7091	" 7,225 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
165	33861	contig_18154	" 7,110 "	" 20,165 "	Kingevirus communis	11	Crevaviridae
1613	34031	contig_241601	" 6,892 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
295	33857	contig_2345	" 6,702 "	" 17,956 "	Epsilon_1_1	11	Epsilon
707	34015	contig_3411	" 6,633 "	" 77,979 "	Epsilon_1_4	11	Epsilon
2010	33908	contig_16648	" 6,628 "	" 22,908 "	Zeta	TAG	Zeta
1375	33915	contig_2405	" 6,515 "	" 18,695 "	Epsilon_1	11	Epsilon
1837	33932	contig_239525	" 6,440 "	" 28,967 "	Zeta_8_1	11	Zeta
1097	33936	contig_7091	" 6,297 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
978	33861	contig_7034	" 6,200 "	" 16,937 "	Kingevirus communis	11	Crevaviridae
1402	33984	contig_2405	" 6,182 "	" 18,695 "	Epsilon_1	11	Epsilon
1554	33969	contig_8031	" 6,180 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
402	33940	contig_239060	" 6,124 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
661	33941	contig_3411	" 6,098 "	" 77,979 "	Epsilon_1_4	11	Epsilon
562	33857	contig_3213	" 5,944 "	" 37,472 "	Epsilon_1	11	Epsilon
354	34015	contig_2345	" 5,705 "	" 17,956 "	Epsilon_1_1	11	Epsilon
836	34024	contig_5621	" 5,699 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1103	33947	contig_7091	" 5,696 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
519	33879	contig_3100	" 5,571 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1410	34007	contig_2405	" 5,401 "	" 18,695 "	Epsilon_1	11	Epsilon
616	33997	contig_3213	" 5,371 "	" 37,472 "	Epsilon_1	11	Epsilon
387	33891	contig_239060	" 5,361 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1304	33866	contig_10830	" 5,330 "	" 23,029 "	Birpovirus	TAG	Suoliviridae
1958	33901	contig_16647	" 5,240 "	" 21,983 "	Zeta	TAG	Zeta
1490	33976	contig_3469	" 5,227 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
796	33895	contig_5621	" 5,207 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1598	33980	contig_241601	" 4,913 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1411	34008	contig_2405	" 4,892 "	" 18,695 "	Epsilon_1	11	Epsilon
838	34028	contig_5621	" 4,781 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
576	33915	contig_3213	" 4,766 "	" 37,472 "	Epsilon_1	11	Epsilon
1123	33997	contig_7091	" 4,741 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
1968	33897	contig_11105	" 4,688 "	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
275	33997	contig_1857	" 4,634 "	" 141,010 "	Epsilon_1	11	Epsilon
1358	34041	contig_17571	" 4,581 "	" 113,452 "	Zeta_7_1	TGA	Zeta
414	33981	contig_239060	" 4,363 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
876	33926	contig_5776	" 4,343 "	" 88,456 "	Cohcovirus splanchnicus	11	Suoliviridae
1134	34037	contig_7091	" 4,305 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
497	34024	contig_240585	" 4,287 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
606	33981	contig_3213	" 4,246 "	" 37,472 "	Epsilon_1	11	Epsilon
1498	33989	contig_3469	" 4,232 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1102	33943	contig_7091	" 4,225 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
499	34028	contig_240585	" 4,158 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
314	33941	contig_2345	" 4,157 "	" 17,956 "	Epsilon_1_1	11	Epsilon
1980	33974	contig_11105	" 4,107 "	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
1916	33880	contig_15614	" 4,070 "	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
595	33960	contig_3213	" 3,940 "	" 37,472 "	Epsilon_1	11	Epsilon
1924	33974	contig_15614	" 3,935 "	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1981	33980	contig_11105	" 3,893 "	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
714	34036	contig_3411	" 3,860 "	" 77,979 "	Epsilon_1_4	11	Epsilon
783	33866	contig_5621	" 3,846 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1521	34042	contig_3469	" 3,751 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
833	34013	contig_5621	" 3,745 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1027	33896	contig_7054	" 3,733 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
592	33957	contig_3213	" 3,643 "	" 37,472 "	Epsilon_1	11	Epsilon
303	33879	contig_2345	" 3,615 "	" 17,956 "	Epsilon_1_1	11	Epsilon
727	33947	contig_5148	" 3,580 "	" 72,032 "	Kehishuvirus	11	Steigviridae
360	34036	contig_2345	" 3,574 "	" 17,956 "	Epsilon_1_1	11	Epsilon
370	33863	contig_239060	" 3,530 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1766	33954	contig_10396	" 3,493 "	" 35,214 "	Mahlunavirus rarus	11	Steigviridae
1588	33929	contig_241601	" 3,463 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1855	34030	contig_241147	" 3,441 "	" 92,029 "	Drivevirus	11	Intestiviridae
245	33947	contig_1857	" 3,397 "	" 141,010 "	Epsilon_1	11	Epsilon
310	33915	contig_2345	" 3,322 "	" 17,956 "	Epsilon_1_1	11	Epsilon
327	33961	contig_2345	" 3,261 "	" 17,956 "	Epsilon_1_1	11	Epsilon
947	33943	contig_7024	" 3,260 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
1449	33857	contig_3469	" 3,152 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1085	33896	contig_7091	" 3,068 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
1328	33861	contig_17571	" 3,066 "	" 113,452 "	Zeta_7_1	TGA	Zeta
1228	33857	contig_1091	" 3,030 "	" 145,297 "	Epsilon_2_3	11	Epsilon
251	33955	contig_1857	" 2,969 "	" 141,010 "	Epsilon_1	11	Epsilon
675	33961	contig_3411	" 2,870 "	" 77,979 "	Epsilon_1_4	11	Epsilon
2069	33940	contig_6257	" 2,851 "	" 100,509 "	Zeta_1	TAG	Zeta
804	33929	contig_5621	" 2,807 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1603	34012	contig_241601	" 2,794 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1519	34039	contig_3469	" 2,770 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1396	33976	contig_2405	" 2,744 "	" 18,695 "	Epsilon_1	11	Epsilon
1476	33917	contig_3469	" 2,728 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
955	33979	contig_7024	" 2,691 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
281	34011	contig_1857	" 2,682 "	" 141,010 "	Epsilon_1	11	Epsilon
618	34007	contig_3213	" 2,637 "	" 37,472 "	Epsilon_1	11	Epsilon
1893	33997	contig_7377	" 2,636 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
1329	33867	contig_17571	" 2,629 "	" 113,452 "	Zeta_7_1	TGA	Zeta
1458	33884	contig_3469	" 2,599 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1660	33943	contig_8225	" 2,578 "	" 178,222 "	Zeta_3_1	11	Zeta
1463	33893	contig_3469	" 2,545 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1854	33995	contig_241147	" 2,543 "	" 92,029 "	Drivevirus	11	Intestiviridae
1522	34044	contig_3469	" 2,448 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
728	34011	contig_5148	" 2,441 "	" 72,032 "	Kehishuvirus	11	Steigviridae
2006	33901	contig_16648	" 2,436 "	" 22,908 "	Zeta	TAG	Zeta
1534	33949	contig_6493	" 2,424 "	" 21,922 "	Zeta_15_1	11	Zeta
1212	33981	contig_10841	" 2,416 "	" 12,322 "	Blohavirus americanus	TAG	Suoliviridae
971	34040	contig_7024	" 2,413 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
941	33936	contig_7024	" 2,389 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
1619	33861	contig_5263	" 2,384 "	" 58,511 "	Zeta_7	11	Zeta
1919	33897	contig_15614	" 2,328 "	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
1354	34031	contig_17571	" 2,311 "	" 113,452 "	Zeta_7_1	TGA	Zeta
649	33896	contig_3411	" 2,263 "	" 77,979 "	Epsilon_1_4	11	Epsilon
584	33941	contig_3213	" 2,255 "	" 37,472 "	Epsilon_1	11	Epsilon
1287	34011	contig_1091	" 2,231 "	" 145,297 "	Epsilon_2_3	11	Epsilon
1929	34013	contig_15614	" 2,225 "	" 42,530 "	Lebriduvirus gastrointestinalis	11	Steigviridae
544	33997	contig_3100	" 2,221 "	" 58,218 "	Afonbuvirus coli	TAG	Suoliviridae
1491	33979	contig_3469	" 2,186 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1943	33936	contig_16169	" 2,174 "	" 35,220 "	Buchavirus	TAG	Suoliviridae
583	33939	contig_3213	" 2,172 "	" 37,472 "	Epsilon_1	11	Epsilon
1941	33880	contig_16169	" 2,167 "	" 35,220 "	Buchavirus	TAG	Suoliviridae
968	34037	contig_7024	" 2,142 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
574	33891	contig_3213	" 2,141 "	" 37,472 "	Epsilon_1	11	Epsilon
1137	34040	contig_7091	" 2,099 "	" 66,998 "	Kingevirus communis	11	Crevaviridae
1658	33941	contig_8225	" 2,097 "	" 178,222 "	Zeta_3_1	11	Zeta
755	33974	contig_5617	" 2,089 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
256	33964	contig_1857	" 2,049 "	" 141,010 "	Epsilon_1	11	Epsilon
214	33867	contig_1857	" 2,042 "	" 141,010 "	Epsilon_1	11	Epsilon
283	34015	contig_1857	" 2,040 "	" 141,010 "	Epsilon_1	11	Epsilon
493	34018	contig_240585	" 2,033 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
2073	33922	contig_11403	" 2,023 "	" 27,032 "	Buorbuivirus	TAG	Suoliviridae
784	33869	contig_5621	" 2,004 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1960	33908	contig_16647	" 1,982 "	" 21,983 "	Zeta	TAG	Zeta
2109	33976	contig_15524	" 1,933 "	" 89,414 "	Delmidovirus copri	11	Intestiviridae
697	33997	contig_3411	" 1,909 "	" 77,979 "	Epsilon_1_4	11	Epsilon
1560	33982	contig_8031	" 1,891 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
1596	33974	contig_241601	" 1,887 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
269	33984	contig_1857	" 1,884 "	" 141,010 "	Epsilon_1	11	Epsilon
961	33997	contig_7024	" 1,872 "	" 36,085 "	Kingevirus communis	11	Crevaviridae
1478	33925	contig_3469	" 1,872 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
1595	33973	contig_241601	" 1,864 "	" 75,783 "	Diorhovirus copri	11	Intestiviridae
1055	33997	contig_7054	" 1,845 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
1868	33925	contig_7377	" 1,802 "	" 35,885 "	Aurodevirus hiberniae	TAG	Suoliviridae
458	33931	contig_240585	" 1,743 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
24	33862	contig_11002	" 1,742 "	" 106,707 "	Culoivirus	11	Suoliviridae
1778	33940	contig_18456	" 1,694 "	" 44,008 "	Birpovirus	11	Suoliviridae
1361	33857	contig_2405	" 1,686 "	" 18,695 "	Epsilon_1	11	Epsilon
843	34042	contig_5621	" 1,683 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1384	33955	contig_2405	" 1,682 "	" 18,695 "	Epsilon_1	11	Epsilon
1569	34009	contig_8031	" 1,651 "	" 11,383 "	Birpovirus	TAG	Suoliviridae
2064	33917	contig_6257	" 1,624 "	" 100,509 "	Zeta_1	TAG	Zeta
744	33895	contig_5617	" 1,607 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
186	33943	contig_18154	" 1,601 "	" 20,165 "	Kingevirus communis	11	Crevaviridae
786	33877	contig_5621	" 1,580 "	" 83,243 "	Canhaevirus hiberniae	11	Suoliviridae
1494	33982	contig_3469	" 1,565 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
76	33855	contig_12421	" 1,560 "	" 21,658 "	Kehishuvirus	11	Steigviridae
1946	33959	contig_16169	" 1,559 "	" 35,220 "	Buchavirus	TAG	Suoliviridae
1970	33929	contig_11105	" 1,548 "	" 14,905 "	Buchavirus intestinalis	TAG	Suoliviridae
180	33936	contig_18154	" 1,526 "	" 20,165 "	Kingevirus communis	11	Crevaviridae
2034	33959	contig_17442	" 1,494 "	" 75,857 "	Buchavirus	TAG	Suoliviridae
1391	33964	contig_2405	" 1,453 "	" 18,695 "	Epsilon_1	11	Epsilon
279	34008	contig_1857	" 1,450 "	" 141,010 "	Epsilon_1	11	Epsilon
746	33897	contig_5617	" 1,450 "	" 21,014 "	Canhaevirus hiberniae	11	Suoliviridae
1036	33936	contig_7054	" 1,407 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
1048	33979	contig_7054	" 1,403 "	" 34,118 "	Kingevirus communis	11	Crevaviridae
174	33896	contig_18154	" 1,385 "	" 20,165 "	Kingevirus communis	11	Crevaviridae
432	34030	contig_239060	" 1,368 "	" 10,591 "	Carjivirus communis	11	Intestiviridae
1483	33954	contig_3469	" 1,358 "	" 56,074 "	Junduvirus communis	11	Crevaviridae
289	34036	contig_1857	" 1,343 "	" 141,010 "	Epsilon_1	11	Epsilon
333	33976	contig_2345	" 1,343 "	" 17,956 "	Epsilon_1_1	11	Epsilon
1851	33922	contig_241147	" 1,311 "	" 92,029 "	Drivevirus	11	Intestiviridae
450	33862	contig_240585	" 1,296 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
984	33896	contig_7034	" 1,275 "	" 16,937 "	Kingevirus communis	11	Crevaviridae
1768	33975	contig_10396	" 1,269 "	" 35,214 "	Mahlunavirus rarus	11	Steigviridae
2019	33896	contig_239885	" 1,246 "	" 17,083 "	Kahucivirus intestinalis	11	Crevaviridae
1009	34037	contig_7034	" 1,241 "	" 16,937 "	Kingevirus communis	11	Crevaviridae
0	33855	contig_10982	" 1,228 "	" 14,547 "	Kehishuvirus	11	Steigviridae
1364	33867	contig_2405	" 1,213 "	" 18,695 "	Epsilon_1	11	Epsilon
452	33895	contig_240585	" 1,203 "	" 10,264 "	Dabirmavirus	11	Intestiviridae
638	33867	contig_3411	" 1,194 "	" 77,979 "	Epsilon_1_4	11	Epsilon
