#NAME	H814_chip_2_S1	H814_chip_S1	H815_chip_S1	H817_chip_S1	H821_chip_S1	H823_chip_S1	H827_chip_S1	H831_chip_2_S1	H831_chip_S1	H835_chip_2_S1	H835_chip_S1	H838_chip_S1	H840_chip_S1	H841_chip_S1	H800_swab_1_S1	H800_swab_2_S1	H801_swab_1_S1	H802_swab_1_S1	H802_swab_2_S1	H803_swab_1_S1	H803_swab_2_S1	H804_swab_1_S1	H804_swab_4_S1	H805_swab_1_S1	H805_swab_2_S1	H806_swab_1_S1	H806_swab_2_S1	H807_swab_1_S1	H807_swab_2_S1	H809_swab_1_S1	H809_swab_2_S1	H810_swab_1_S1	H813_swab_3_S1	H813_swab_4_S1	H817_swab_1_S1	H817_swab_2_S1	H818_swab_1_S1	H818_swab_2_S1	H819_swab_1_S1	H819_swab_2_S1	H820_swab_1_S1	H820_swab_2_S1	H821_swab_1_S1	H821_swab_2_S1	H822_swab_1_S1	H822_swab_2_S1	H823_swab_1_S1	H825_swab_1_S1	H825_swab_2_S1	H827_swab_1_S1	H827_swab_2_S1	H831_swab_1_S1	H831_swab_2_S1	H833_swab_1_S1	H834_swab_1_S1	H834_swab_2_S1	H837_swab_1_S1	H837_swab_2_S1	H840_swab_1_S1	H840_swab_2_S1	H841_swab_1_S1	H841_swab_2_S1
p__Cressdnaviricota	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	5	0	0	1	1	0	0	0	6	1	0	0	0	0	0	0	0	6	0	0	0	6	0	1	2	4	8	1	2	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
p__candidate division WWE3	21	187	134	13	130	5	49	9	0	45	143	202	63	70	71	32	36	12	21	23	18	34	16	35	28	73	22	179	317	5	12	13	42	31	13	20	10	3	2	2	15	7	13	50	19	12	29	125	42	9	5	34	65	7	38	54	6	3	9	15	32	84
p__Candidatus Cerribacteria	0	6	7	0	0	1	0	0	0	0	5	0	0	0	0	0	1	0	1	1	0	1	3	0	11	0	0	2	0	0	1	0	2	3	0	6	0	0	1	1	2	0	0	0	1	3	0	0	0	0	0	0	2	0	3	2	0	0	0	3	2	3
p__Candidatus Liptonbacteria	2	45	5	0	5	2	0	2	0	16	57	9	0	0	3	4	5	1	1	0	3	4	2	5	14	2	0	17	46	0	0	0	4	3	2	6	0	2	2	0	0	0	1	3	6	1	2	1	3	0	0	0	0	3	0	3	0	0	0	2	0	1
p__Candidatus Goldbacteria	0	3	4	0	2	0	0	0	0	0	1	3	0	0	2	3	2	4	0	0	0	3	0	4	0	2	2	2	1	2	0	0	3	0	0	1	2	0	0	0	4	0	0	0	1	0	0	0	2	0	0	2	3	5	8	6	0	0	1	0	0	1
p__Candidatus Dormibacteraeota	410	1464	4212	226	587	32	141	11	1	361	1117	884	124	212	34	58	36	101	129	56	6	192	26	40	50	102	74	77	41	27	40	24	205	239	116	382	75	52	34	21	43	38	25	82	115	124	319	382	172	11	7	69	73	19	573	1381	27	38	48	23	57	23
p__Negarnaviricota	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	1	0	0	0	0	1	1	2	0	0	1	0	3	0	0	0	1	3	0	2	0	0	0	0	0	0	2	20	16	0	0	0	0	1	1	0	0	9	0	0	0	1	0	0
p__Tubulinea	2	12	40	0	13	1	8	9	0	3	7	9	0	4	6	81	17	59	54	35	2	69	26	11	22	6	3	20	40	14	8	11	117	73	35	92	14	27	16	61	7	14	8	11	60	40	126	14	33	22	4	7	11	8	13	36	13	12	21	3	7	17
p__Candidatus Hydrothermae	5	60	22	1	19	0	69	2	0	10	26	33	4	14	1	1	7	1	2	0	1	4	1	8	0	8	5	12	0	1	1	2	14	2	2	13	0	4	0	0	1	1	1	2	4	0	7	12	6	2	0	5	8	1	20	71	3	3	0	4	5	10
p__Candidatus Yonathbacteria	0	2	6	0	0	0	0	0	0	0	2	2	0	9	0	2	1	1	3	0	0	2	0	1	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	1	7	0	2	0	0	0	0	0	1	0	4	2	0	0	0	1	2	0
p__Candidatus Blackburnbacteria	4	23	28	0	11	0	2	0	0	3	1	10	4	0	2	0	2	4	2	0	0	0	0	0	1	8	12	2	1	0	0	4	0	3	0	7	1	0	0	0	0	2	0	0	0	1	0	12	5	0	0	0	2	0	4	27	2	0	0	0	0	1
p__Nematoda	980	1566	1879	282	601	98	199	2622	7	384	1201	571	168	298	22098	48834	22815	1284	3174	1165	1611	3503	15401	9122	20680	14392	13143	4756	2130	960	1667	11206	2479	2760	1320	2491	1379	817	1169	5052	1454	1092	2255	14821	3172	2247	2280	1192	872	922	1258	833	1265	11592	657	1146	319	534	5506	8692	20080	22326
p__Chloroflexi	101626	1379635	784792	14987	176565	28766	55640	2407	637	258163	748651	201606	39855	62245	7230	16567	13584	24779	34137	14714	3122	44746	7397	13739	7922	25055	17738	22819	17872	3856	8775	4153	38391	47001	22802	122031	7460	16575	5792	5323	6625	11115	10607	12163	34108	23834	73979	93297	32628	4861	2380	12580	21411	8281	88741	164986	9035	12772	5839	6076	14237	8914
p__Candidatus Yanofskybacteria	6	29	19	4	19	5	6	0	0	37	212	38	9	10	7	5	4	3	7	0	8	8	4	31	5	15	23	9	4	3	3	3	11	13	9	26	3	5	4	6	1	6	9	3	6	8	19	13	10	1	1	10	10	2	9	18	0	0	1	3	2	13
p__Cnidaria	37	236	145	27	51	15	32	198	0	42	141	42	40	61	145	609	212	286	752	258	162	318	159	783	865	198	584	100	65	171	1241	237	454	303	230	303	138	426	151	131	167	149	114	143	488	794	515	163	207	250	90	121	155	102	100	199	39	34	168	332	496	1264
p__Preplasmiviricota	0	1	70	0	2	0	0	0	0	0	0	1	1	13	1	0	1	0	3	14	0	1	0	2	0	2	0	2	1	0	0	0	5	2	0	3	0	1	0	3	0	3	11	1	6	4	6	7	0	2	0	1	203	1	0	1	0	0	0	2	9	2
p__Apicomplexa	2111	86	373	520	160	7	94	1422	1	30	73	186	68	137	86	452	150	784	7898	892	203	13569	2276	239	151	365	142	383	269	549	1281	196	17465	15438	3036	9004	765	1536	1429	978	222	168	885	185	4567	3012	3879	4601	1806	802	928	129	420	325	183	315	163	295	309	292	202	175
p__Candidatus Altiarchaeota	8	107	55	6	51	2	146	2	2	16	73	73	25	100	6	13	4	12	21	50	7	20	12	37	3	18	17	39	16	19	6	6	16	26	19	19	16	26	7	8	9	5	9	72	23	18	24	37	14	15	3	11	27	100	39	60	34	57	2	14	25	22
p__Oomycota	100	636	694	167	722	28	126	740	4	159	538	407	148	213	2473	3557	234	1746	1501	350	3475	1429	905	6369	4226	6564	9474	12507	11945	731	740	214	2601	1417	2641	1574	34364	751	1547	781	3870	2900	893	36861	1354	661	2054	836	948	6771	1837	41149	87379	83459	457	657	280	175	1300	10016	1958	10662
p__Armatimonadetes	801	7379	5664	202	2989	238	1689	189	14	1479	4706	4057	1005	1807	677	1413	766	1387	4165	684	225	2747	674	1246	759	928	792	1584	1889	422	1544	468	2828	2411	1580	5861	675	914	278	504	509	1349	1012	1718	2917	2358	5024	3461	1748	318	212	834	992	536	5359	3535	309	601	584	799	1253	1218
p__candidate division WOR-3	13	204	189	28	447	5	143	4	0	44	123	132	44	90	20	24	22	45	34	53	16	46	10	74	26	81	62	72	45	9	11	19	56	44	44	40	19	30	3	29	53	14	13	39	41	18	31	202	43	26	3	53	97	27	88	199	44	89	24	30	30	41
p__Phoronida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Ascomycota	7167	4399	10876	52970	18148	640	5030	117443	241	1209	3364	2301	69110	7515	101596	1027054	215695	2195753	1429992	266885	205719	1447453	439855	477995	83145	81337	42761	962144	584008	2162807	1616747	21423	2234704	2306550	2839883	2042690	3076922	997737	1719853	1026885	2616015	2874865	2381749	614873	1957546	679627	818949	1459587	1719642	4004927	1546024	1459321	309812	138965	975932	1358326	84242	39667	768378	69884	97276	13033
p__Dividoviricota	2	0	0	0	6	0	165	0	2	0	5	20	15	57	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	25	18	0	0	2	0
p__Candidatus Fraserbacteria	49	891	125	20	383	8	106	10	4	114	474	156	35	67	2	16	1	6	20	22	5	13	0	15	7	18	3	49	1	3	0	1	29	29	14	32	20	3	1	2	7	6	11	25	10	13	22	153	28	17	5	26	53	71	55	106	11	8	5	9	48	16
p__Candidatus Hydrogenedentes	65	641	549	36	230	31	229	47	0	165	578	423	96	304	148	170	205	89	107	76	110	240	69	289	307	308	136	311	335	20	38	136	239	263	143	242	101	43	45	67	89	77	84	122	111	102	303	283	110	123	29	128	255	386	157	210	45	35	1285	121	250	299
p__Candidatus Ratteibacteria	0	10	9	0	0	0	11	0	0	0	6	18	0	13	0	3	3	0	1	0	0	2	0	2	5	0	0	3	0	0	1	0	2	7	2	2	0	0	0	1	0	0	0	1	0	1	4	0	2	0	0	0	3	0	16	44	0	2	0	0	6	1
p__Candidatus Blackallbacteria	4	70	52	9	13	4	8	0	0	9	18	8	4	8	13	23	10	9	12	6	13	36	9	44	120	8	12	18	19	4	3	41	24	15	17	19	4	13	1	18	9	0	1	10	13	7	20	23	9	2	0	6	7	3	23	38	5	3	10	23	30	29
p__candidate division CPR2	0	2	7	0	40	2	3	3	0	1	1	14	3	2	1	5	2	0	0	1	0	3	0	3	0	0	0	1	4	0	3	0	2	0	0	1	0	0	0	2	0	0	0	2	0	1	2	13	10	0	0	5	3	0	0	2	0	0	0	3	0	2
